nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, wall, wall, wall, wall, wall, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, wall, room, room, chest closed, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, floor, floor, floor, floor, floor, floor, floor, locked door, room, room, chest closed, room, wall, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, locked door, wall, wall, wall, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, wall, wall, wall, wall, wall, room, room, locked door, wall, wall, wall, wall, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, locked door, floor, floor, floor, floor, locked door, room, chest closed, floor, floor, floor, floor, floor, floor, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, room, room, room, room, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, wall, wall, wall, wall, room, room, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, floor, floor, floor, floor, locked door, room, chest closed, room, room, chest closed, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, wall, wall, wall, locked door, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, locked door, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, wall, room, room, wall, room, room, room, room, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, wall, room, chest closed, wall, room, room, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, chest closed, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, wall, wall, wall, wall, wall, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, floor, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, you left, room, chest closed, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, room, room, wall, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, room, room, wall, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, locked door, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, room, special chest closed, wall, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, locked door, room, room, wall, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, locked door, wall, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, locked door, wall, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, chest closed, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, locked door, room, chest closed, wall, wall, wall, wall, wall, wall, wall, wall, room, room, room, room, floor, wall, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, wall, floor, floor, floor, floor, floor, floor, floor, floor, locked door, room, room, chest closed, room, locked door, wall, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, locked door, wall, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, wall, wall, wall, floor, wall, wall, floor, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, wall, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, locked door, wall, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, wall, wall, room, room, wall, wall, wall, wall, wall, wall, wall, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, floor, floor, locked door, room, chest closed, floor, floor, floor, floor, floor, floor, floor, locked door, room, room, chest closed, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, locked door, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, room, room, chest closed, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, wall, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, monster, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, locked door, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, floor, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, wall, wall, locked door, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, ladder, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, room, room, chest closed, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, wall, wall, wall, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, room, room, room, room, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, wall, wall, wall, wall, wall, wall, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, nothing, 
